num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2024S019696;14/06/2024;7:35:00;AVDA. OPORTO / CALL. ANTONIA LANCHA;8;11;CARABANCHEL;Colisión fronto-lateral;NULL;Motocicleta hasta 125cc;Conductor;De 60 a 64 años;Hombre;14;Sin asistencia sanitaria;438904;4470765;N;NULL
2024S019696;14/06/2024;7:35:00;AVDA. OPORTO / CALL. ANTONIA LANCHA;8;11;CARABANCHEL;Colisión fronto-lateral;NULL;Turismo;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;438904;4470765;N;NULL
2024S019698;14/06/2024;9:30:00;AVDA. AMERICA / CALL. CORAZON DE MARIA;1;5;CHAMARTÍN;Colisión lateral;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;NULL;NULL;443324;4476962;N;NULL
2024S019698;14/06/2024;9:30:00;AVDA. AMERICA / CALL. CORAZON DE MARIA;1;5;CHAMARTÍN;Colisión lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;443324;4476962;N;NULL
2024S019699;14/06/2024;7:40:00;CALL. PRINCESA, 32;32;1;CENTRO;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 40 a 44 años;Hombre;1;Atención en urgencias sin posterior ingreso;439401;4475526;N;NULL
2024S019700;14/06/2024;9:30:00;CALL. TORRELAGUNA / CALL. EUSEBIO MARTINEZ BARONA;110A;15;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Autobús;Conductor;De 60 a 64 años;Hombre;14;Sin asistencia sanitaria;443976;4478498;N;NULL
2024S019700;14/06/2024;9:30:00;CALL. TORRELAGUNA / CALL. EUSEBIO MARTINEZ BARONA;110A;15;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Furgoneta;Conductor;De 45 a 49 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;443976;4478498;N;NULL
2024S019701;14/06/2024;8:05:00;AVDA. JUAN ANTONIO SAMARANCH / CALL. JOSE ANTONIO FERNANDEZ ORDOÑEZ;67C;16;HORTALEZA;Alcance;NULL;Furgoneta;Conductor;De 45 a 49 años;Hombre;NULL;NULL;448243;4482438;N;NULL
2024S019701;14/06/2024;8:05:00;AVDA. JUAN ANTONIO SAMARANCH / CALL. JOSE ANTONIO FERNANDEZ ORDOÑEZ;67C;16;HORTALEZA;Alcance;NULL;Furgoneta;Pasajero;De 35 a 39 años;Hombre;NULL;NULL;448243;4482438;N;NULL
2024S019701;14/06/2024;8:05:00;AVDA. JUAN ANTONIO SAMARANCH / CALL. JOSE ANTONIO FERNANDEZ ORDOÑEZ;67C;16;HORTALEZA;Alcance;NULL;Turismo;Conductor;De 35 a 39 años;Mujer;NULL;NULL;448243;4482438;N;NULL
2024S019702;14/06/2024;9:30:00;AVDA. BONN / CALL. BAYONA;12;4;SALAMANCA;Colisión frontal;Despejado;Motocicleta > 125cc;Conductor;De 55 a 59 años;Hombre;5;Asistencia sanitaria ambulatoria con posterioridad;443817;4476663;N;NULL
2024S019702;14/06/2024;9:30:00;AVDA. BONN / CALL. BAYONA;12;4;SALAMANCA;Colisión frontal;Despejado;Turismo;Conductor;De 65 a 69 años;Mujer;14;Sin asistencia sanitaria;443817;4476663;N;NULL
2024S019703;11/06/2024;13:50:00;RONDA. INGENIOSO HIDALGO, 109;109;8;FUENCARRAL-EL PARDO;Alcance;Despejado;Turismo;Conductor;De 45 a 49 años;Mujer;NULL;NULL;441424;4483820;N;NULL
2024S019703;11/06/2024;13:50:00;RONDA. INGENIOSO HIDALGO, 109;109;8;FUENCARRAL-EL PARDO;Alcance;Despejado;Turismo;Conductor;De 55 a 59 años;Mujer;NULL;NULL;441424;4483820;N;NULL
2024S019704;14/06/2024;9:55:00;CALL. LUIS CLAUDIO / CALL. JOAQUIN TURINA;1;11;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;NULL;NULL;435466;4469350;N;NULL
2024S019704;14/06/2024;9:55:00;CALL. LUIS CLAUDIO / CALL. JOAQUIN TURINA;1;11;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;NULL;NULL;435466;4469350;N;NULL
2024S019704;14/06/2024;9:55:00;CALL. LUIS CLAUDIO / CALL. JOAQUIN TURINA;1;11;CARABANCHEL;Alcance;Despejado;Turismo;Pasajero;De 50 a 54 años;Hombre;NULL;NULL;435466;4469350;N;NULL
2024S019705;14/06/2024;11:15:00;CALL. FRANCISCO DE ROJAS / CALL. SAGASTA;2;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Furgoneta;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;440671;4475557;N;NULL
2024S019705;14/06/2024;11:15:00;CALL. FRANCISCO DE ROJAS / CALL. SAGASTA;2;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;440671;4475557;N;NULL
2024S019706;14/06/2024;11:00:00;CALL. MARQUES DE URQUIJO / CALL. TUTOR;10;9;MONCLOA-ARAVACA;Alcance;Despejado;Motocicleta > 125cc;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;439151;4475769;N;NULL
2024S019706;14/06/2024;11:00:00;CALL. MARQUES DE URQUIJO / CALL. TUTOR;10;9;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;439151;4475769;N;NULL
2024S019707;14/06/2024;11:00:00;PASEO DE LA FLORIDA;11;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Tractocamión;Conductor;De 55 a 59 años;Hombre;NULL;NULL;438800;4474774;N;NULL
2024S019707;14/06/2024;11:00:00;PASEO DE LA FLORIDA;11;9;MONCLOA-ARAVACA;Colisión lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;NULL;NULL;438800;4474774;N;NULL
2024S019708;14/06/2024;11:15:00;CALL. ARRIAZA, 3;3;9;MONCLOA-ARAVACA;Choque contra obstáculo fijo;NULL;Camión rígido;Conductor;De 60 a 64 años;Hombre;NULL;NULL;439273;4474712;N;NULL
2024S019708;14/06/2024;11:15:00;CALL. ARRIAZA, 3;3;9;MONCLOA-ARAVACA;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 30 a 34 años;Hombre;NULL;NULL;439273;4474712;N;NULL
2024S019710;14/06/2024;11:50:00;CALL. PINOS BAJA / CALL. LADERA;13;6;TETUÁN;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;NULL;NULL;440356;4479911;N;NULL
2024S019710;14/06/2024;11:50:00;CALL. PINOS BAJA / CALL. LADERA;13;6;TETUÁN;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 60 a 64 años;Mujer;NULL;NULL;440356;4479911;N;NULL
2024S019711;14/06/2024;10:45:00;AVDA PLANETARIO S/N;4;2;ARGANZUELA;Alcance;Despejado;Camión rígido;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;441912;4471553;N;NULL
2024S019711;14/06/2024;10:45:00;AVDA PLANETARIO S/N;4;2;ARGANZUELA;Alcance;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;441912;4471553;N;NULL
2024S019712;14/06/2024;12:38:00;IDB. AVENIDA DE LOS ROSALES / CALL. PERIANA;0;17;VILLAVERDE;Alcance;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;442342;4467140;N;NULL
2024S019712;14/06/2024;12:38:00;IDB. AVENIDA DE LOS ROSALES / CALL. PERIANA;0;17;VILLAVERDE;Alcance;Despejado;Turismo;Conductor;De 65 a 69 años;Hombre;14;Sin asistencia sanitaria;442342;4467140;N;NULL
2024S019712;14/06/2024;12:38:00;IDB. AVENIDA DE LOS ROSALES / CALL. PERIANA;0;17;VILLAVERDE;Alcance;Despejado;Turismo;Pasajero;De 45 a 49 años;Mujer;14;Sin asistencia sanitaria;442342;4467140;N;NULL
2024S019712;14/06/2024;12:38:00;IDB. AVENIDA DE LOS ROSALES / CALL. PERIANA;0;17;VILLAVERDE;Alcance;Despejado;Turismo;Pasajero;De 65 a 69 años;Mujer;14;Sin asistencia sanitaria;442342;4467140;N;NULL
