num_expediente,fecha_hora,cod_distrito,distrito,same_as_wikidata_distrito,tipo_accidente,estado_meteorologico,tipo_vehiculo,tipo_persona,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,num_participante
2024S021057,2024-06-30T20:15:00Z,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,Colisión lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.43585424103389,-3.6247849678347523,0,0,"1"
2024S021057,2024-06-30T20:15:00Z,20,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,Colisión lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.43585424103389,-3.6247849678347523,0,0,"2"
2024S021058,2024-06-30T20:30:00Z,6,Tetuán,https://wikidata.org/entity/Q1773540,Caída,Despejado,Ciclomotor,Conductor,1,Atención en urgencias sin posterior ingreso,40.45658543874192,-3.70444447468654,0,0,"1"
2024S021059,2024-06-30T20:35:00Z,7,Chamberí,https://wikidata.org/entity/Q1763370,Alcance,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.434850752795356,-3.715524310721603,0,0,"1"
2024S021059,2024-06-30T20:35:00Z,7,Chamberí,https://wikidata.org/entity/Q1763370,Alcance,Despejado,VMU eléctrico,Conductor,1,Atención en urgencias sin posterior ingreso,40.434850752795356,-3.715524310721603,0,0,"2"
2024S021061,2024-06-30T20:35:00Z,11,Carabanchel,https://wikidata.org/entity/Q1001991,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,77,Se desconoce,40.38687812142813,-3.7369539791444257,0,0,"1"
2024S021061,2024-06-30T20:35:00Z,11,Carabanchel,https://wikidata.org/entity/Q1001991,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,77,Se desconoce,40.38687812142813,-3.7369539791444257,0,0,"2"
2024S021063,2024-06-30T18:00:00Z,17,Villaverde,https://wikidata.org/entity/Q919536,Colisión fronto-lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.35694439945865,-3.6926543998405017,0,0,"1"
2024S021063,2024-06-30T18:00:00Z,17,Villaverde,https://wikidata.org/entity/Q919536,Colisión fronto-lateral,Despejado,Turismo,Conductor,77,Se desconoce,40.35694439945865,-3.6926543998405017,0,0,"2"
2024S021064,2024-06-30T20:15:00Z,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Alcance,Se desconoce,Camión rígido,Conductor,77,Se desconoce,40.505954463290585,-3.669588456227064,0,0,"1"
2024S021064,2024-06-30T20:15:00Z,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Alcance,Se desconoce,Turismo,Conductor,77,Se desconoce,40.505954463290585,-3.669588456227064,0,0,"2"
2024S021065,2024-06-30T06:50:00Z,7,Chamberí,https://wikidata.org/entity/Q1763370,Colisión fronto-lateral,Nublado,Turismo,Conductor,77,Se desconoce,40.43038630299937,-3.7104901021287047,0,0,"1"
2024S021065,2024-06-30T06:50:00Z,7,Chamberí,https://wikidata.org/entity/Q1763370,Colisión fronto-lateral,Nublado,Turismo,Conductor,77,Se desconoce,40.43038630299937,-3.7104901021287047,0,0,"2"
2024S021065,2024-06-30T06:50:00Z,7,Chamberí,https://wikidata.org/entity/Q1763370,Colisión fronto-lateral,Nublado,Turismo,Conductor,77,Se desconoce,40.43038630299937,-3.7104901021287047,0,0,"3"
2024S021067,2024-06-30T21:15:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Atropello a persona,Despejado,Turismo,Conductor,14,Sin asistencia sanitaria,40.40657855292147,-3.6676362382743664,0,0,"1"
2024S021067,2024-06-30T21:15:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Atropello a persona,Despejado,Turismo,Pasajero,14,Sin asistencia sanitaria,40.40657855292147,-3.6676362382743664,0,0,"2"
2024S021067,2024-06-30T21:15:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Atropello a persona,Despejado,Turismo,Pasajero,14,Sin asistencia sanitaria,40.40657855292147,-3.6676362382743664,0,0,"3"
2024S021067,2024-06-30T21:15:00Z,3,Retiro,https://wikidata.org/entity/Q2002296,Atropello a persona,Despejado,Turismo,Peatón,1,Atención en urgencias sin posterior ingreso,40.40657855292147,-3.6676362382743664,0,0,"4"
