num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,distrito_urls,tipo_accidente,estado_meteorologico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S000018,2024-01-01T00:00:00Z,7:40:00,"CALL. SANCHEZ PRECIADO, 41",41,9,Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Colisión múltiple,Nublado,Turismo,Conductor,Desconocido,Desconocido,NULL,NULL,439703.142,4479106.448,N,"NULL"
2024S000022,2024-01-01T00:00:00Z,12:25:00,"CALL. SERRANO, 203",203,5,Chamartín,https://www.wikidata.org/wiki/Q1766348,Choque contra obstáculo fijo,Despejado,Motocicleta > 125cc,Conductor,De 30 a 34 años,Hombre,NULL,NULL,442267.627,4478258.082,N,"NULL"
2024S000022,2024-01-01T00:00:00Z,12:25:00,"CALL. SERRANO, 203",203,5,Chamartín,https://www.wikidata.org/wiki/Q1766348,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,NULL,NULL,442267.627,4478258.082,N,"NULL"
2024S000025,2024-01-01T00:00:00Z,15:45:00,CALL. GENERAL RICARDOS / CALL. PARRA,159,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,Alcance,Despejado,Autobús,Conductor,De 50 a 54 años,Hombre,14,Sin asistencia sanitaria,437822.093,4471072.507,N,"NULL"
2024S000025,2024-01-01T00:00:00Z,15:45:00,CALL. GENERAL RICARDOS / CALL. PARRA,159,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,Alcance,Despejado,Motocicleta hasta 125cc,Conductor,De 35 a 39 años,Mujer,14,Sin asistencia sanitaria,437822.093,4471072.507,N,"NULL"
2024S000027,2024-01-01T00:00:00Z,16:30:00,CALL. ALEJANDRO MORAN / CALL. GENERAL RICARDOS,2,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,437731.537,4470986.332,N,"NULL"
2024S000027,2024-01-01T00:00:00Z,16:30:00,CALL. ALEJANDRO MORAN / CALL. GENERAL RICARDOS,2,11,Carabanchel,https://www.wikidata.org/wiki/Q1001991,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,437731.537,4470986.332,N,"NULL"
2024S000028,2024-01-01T00:00:00Z,16:30:00,"CALL. AURORA IGLESIAS, 11",11,13,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,NULL,NULL,443496.334,4472304.961,S,"NULL"
2024S000029,2024-01-01T00:00:00Z,16:35:00,CMNO. VIEJO DE VICALVARO / AUTOV. M-40,7,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,Alcance,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,447084.032,4472971.824,N,"NULL"
2024S000029,2024-01-01T00:00:00Z,16:35:00,CMNO. VIEJO DE VICALVARO / AUTOV. M-40,7,19,Vicálvaro,https://www.wikidata.org/wiki/Q589403,Alcance,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,447084.032,4472971.824,N,"NULL"
